0.757222 0.633831 -1
0.847382 0.281581 -1
0.24931 0.618635 +1
0.538526 0.144259 -1
0.474435 0.414558 -1
0.374151 0.0120482 1
0.847185 0.217572 1
0.983368 0.250496 1
0.645141 0.485816 1
0.172211 0.254331 -1
0.116866 0.378804 -1
0.55097 0.760426 -1
0.312109 0.442938 -1
0.304777 0.0529649 1
0.572727 0.370527 1
0.171491 0.50076 -1
0.644567 0.834055 -1
0.0529041 0.338461 -1
0.0323543 0.830701 -1
0.272193 0.587396 -1
0.123521 0.0516625 1
0.905544 0.247013 1
0.854276 0.559648 1
0.375914 0.505747 -1
0.160755 0.238718 -1
0.45893 0.227062 1
0.395407 0.791184 -1
0.742325 0.586444 1
0.43615 0.136922 1
0.954217 0.680325 1
0.916386 0.381431 1
0.953844 0.439266 1
0.328701 0.721918 -1
0.275732 0.43115 -1
0.892366 0.0136661 1
0.249529 0.0709084 1
0.124333 0.611515 -1
0.54449 0.423701 1
0.86019 0.93029 -1
0.432404 0.0901487 1
0.204973 0.406648 -1
0.0748025 0.568699 -1
0.936407 0.106094 1
0.572728 0.90924 -1
0.358618 0.651613 -1
0.631685 0.910141 -1
0.802581 0.599025 1
0.366818 0.0135169 1
0.708026 0.300654 1
0.243625 0.106277 1
0.960778 0.59799 1
0.726241 0.057674 1
0.158561 0.690295 -1
0.420638 0.503567 -1
0.651344 0.290269 1
0.933469 0.490516 1
0.502864 0.721677 -1
0.595151 0.82293 -1
0.696778 0.300018 1
0.927038 0.295737 1
0.145192 0.377728 -1
0.385435 0.68299 -1
0.296852 0.868018 -1
0.659204 0.77369 -1
0.896153 0.832046 1
0.466137 0.877674 -1
0.815532 0.164151 1
0.310117 0.857713 -1
0.522385 0.961609 -1
0.369345 0.781697 -1
0.901988 0.831265 1
0.692314 0.0640428 1
0.836977 0.614453 1
0.104584 0.357892 -1
0.265266 0.65833 -1
0.729254 0.885763 -1
0.205254 0.404956 -1
0.032359 0.778401 -1
0.464724 0.159682 1
0.940021 0.493738 1
0.248985 0.646083 -1
0.541258 0.728218 -1
0.391575 0.291076 1
0.0254967 0.300503 -1
0.475398 0.920203 -1
0.835664 0.584283 1
0.296033 0.0885163 1
0.0435908 0.646312 -1
0.284148 0.182427 1
0.627696 0.788116 -1
0.312939 0.871275 -1
0.676521 0.316903 1
0.0123539 0.178643 -1
0.682164 0.777194 -1
0.421563 0.302683 1
0.03183 0.289761 -1
0.435715 0.190071 1
0.730492 0.0655594 1
0.92527 0.524315 1
0.984815 0.383621 1
