 4.115 5.020 -7.879 -11.780 2.004 -0.353 -0.735 3.561 2.441 -9.822 +1
 -3.557 0.997 2.932 7.672 5.430 -0.137 1.635 -5.190 -0.394 -7.667 +1
 6.417 5.878 5.066 -7.209 -6.953 7.639 -2.937 -1.023 3.963 -11.069 +1
 -2.247 6.532 6.437 2.293 6.302 2.187 3.429 -3.453 9.172 -4.548 +1
 3.708 5.834 3.676 -4.403 -5.296 9.080 -3.110 -3.294 3.189 -8.510 +1
 -1.586 1.960 -5.506 -8.767 7.871 0.613 -4.693 4.302 -1.219 -8.478 -1
 -4.181 -6.797 -4.187 8.622 0.771 5.851 -3.893 3.779 4.470 -9.433 +1
 -5.589 -7.010 -5.297 7.329 1.872 3.953 -3.425 3.097 1.677 -11.320 +1
 8.124 4.813 3.519 -7.539 -4.723 8.129 -5.165 -3.411 3.552 -9.192 -1
 -7.536 -0.448 -10.633 3.777 0.728 -1.386 -7.756 8.166 -2.979 0.629 -1
 2.963 3.801 0.763 4.595 -4.334 -4.267 -0.809 -5.677 6.073 6.625 -1
 2.009 4.874 -0.200 3.469 -6.495 -5.364 -1.560 -7.233 6.703 8.024 +1
 1.117 -4.978 4.810 0.904 -0.160 1.036 -4.530 -0.242 -9.777 -7.043 -1
 2.500 -5.283 2.861 2.062 -1.050 -1.513 -3.469 -0.396 -9.007 -6.550 +1
 4.308 5.177 -7.454 -8.630 0.831 1.020 2.347 4.464 3.176 -6.249 +1
 2.139 5.880 0.415 2.731 -7.112 -9.191 -2.697 -8.236 6.473 5.862 +1
 1.320 -5.006 4.664 2.597 -0.844 -3.269 -4.123 -1.583 -8.507 -6.115 +1
 0.900 -4.961 5.714 3.565 -0.242 0.251 -5.140 -1.287 -8.431 -6.103 +1
 -8.505 -1.866 0.366 3.879 -8.945 -8.063 -0.133 7.214 4.570 -1.740 +1
 -3.385 -1.143 -5.207 -6.163 9.599 -1.535 -6.582 2.827 -0.883 -6.998 +1
 -9.586 -0.540 -9.988 2.891 0.859 -2.123 -6.347 8.064 -3.331 -3.336 +1
 -8.433 -1.523 -3.372 3.808 -6.863 -5.143 1.558 7.131 5.446 -1.187 +1
 4.298 3.835 -8.633 -9.632 3.692 -0.160 -0.957 3.330 4.571 -6.648 +1
 -1.017 5.133 11.423 0.284 6.290 0.421 5.239 -3.398 9.082 -1.691 +1
 -10.169 -2.113 -2.671 5.976 -6.393 -4.706 1.480 6.266 4.243 -0.733 +1
 5.881 4.734 4.417 -4.664 -4.853 11.036 -3.709 -3.193 2.504 -9.894 -1
